,,Notes,Artificial Pilot,Archive Inc Pilot,RST Pilot,Pinnacle Pilot,Detritus Pilot,,Ralph Karlsson,Bethany Jones,Abe Isamu,Harold Schmidt,Prospero,Lily Reed,Chen Rong,Henry Kwan,Camila Vera,Gana,Isaac Jones,Silica,Archimedes,Kazaaakpleth,Mafan,Ariadne,,Archive Inc CEO,Rust CEO,Snow CEO,Detritus CEO
,Gameover_Response,Response to above,"""Humanity: Destroyed\nInitiate: Time breach""","""Here goes... jumping to another timeline.""","""This isn't the end. Initiating temporal breach protocols.""","""[ Att: Commander: Initiating temporal breach protocols ]"",","""We need to follow failure protocols - initiate the breach.""",,"""We have to open a breach now!"",
""Activate the temporal breach!"",
""We've lost - but only in this timeline. Opening a breach now!"",
""Not again! Preparing breach to another timeline!""","""We... we can try again. Next time - we'll succeed.""","""It is time for us to leave."",
""This world is finished."",
""There is nothing left for us here.""","""This world is finished. Time to depart."",
""At least we are armed with more knowledge for the next timeline. Activate the temporal breach.""","""Initiating a temporal breach. Let the cycle of life and death continue."",
""Breach initializing... farewell again, my Archive home."",
""Another timeline is in need of Vekticide protocols. Initiating breach."",","""We'll just have to try again! Breach activating... now!"",
""Initiating breach... another timeline, here we come, ready or not!""","""Initiating temporal breach. The next timeline awaits.""","""Nothing else to do but go back. No way I'll fail again!"", 
""Dammit! I liked this timeline!"", 
""Just great. All right - executing time breach.""","""Activate the breach! We'll have to try again!"",
""We need to evac! Activating breach now!"",
""Initiating breach protocols on my mark - now!""","""Activating time travel emergency measures."",
""Timeline is now a Vek hazard zone. New timeline work order being processed."",
""Construction efforts have failed. Activating temporal end-of-shift signal."",
""Temporal reconstruction halted. Authorizing new work order in new timeline."",","""We d-d-did all we could... prepare for t-t-temporal breach."",
""I h-had thought this time... this timeline would be different. T-t-time to leave."",
""I h-had thought we could win here... initiating b-breach p-protocols.""","""Temporal excavation initiated. Re-engaging Vek in alternate timeline.""","""Shall we open a breach and try again?"",
""Shall we open a breach? Not really a question, I suppose.""","""Kc'ch'TA?! Jjk! K'tch!""","""\\..:.:: //""",""":: …NNnn-hr… …nnn-hrn… ::""",,"""If you truly can go back in time - do it now.""","""The Vek are erupting across the islands... if you can get to safety, do so."",
""If you are time travelers, then prove it. There is nothing more here."",
""It is over. Escape if you can... I will die here, with my people.""","""Go now. If other timelines can be saved then you must do so."",
""Other timelines need you. Go while you can."",
""Lives can be saved in other timelines, go help them now."",","""Go, my friends. Save yourselves."","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI Barks,Upgrade_PowerWeapon,Turn on a new weapon.,"""Interfacing: New equipment detected"",
""Interfacing: Accessing new schematics""","""Works like a charm."",
""When can I test it out?"",
""New weapon powering up!""","""Locked and loaded."",
""Weapon checks out, commander."",
""...Now for some targets.""","""[ Upgrade online ]"",
""[ Upgrade complete ]"",
""[ Ordnance activated ]"",","""Checking the safety on the weapon now."",
""Beginning system diagnostics."",
""Weapon secure. Initializing now."",
""Never saw something this advanced at Detritus."",
""Is this safe?"",
""Has engineering run the proper checks on this?""",,"""This'll give me an edge."", 
""...Have I used this in another timeline?"", 
""...Hope they worked out the kinks with this in this timeline."",
""Best use this now, I can't take it with me on the next jump."",
""If only I could take this with me when I open another breach...""","""Thanks! I'll test it now!"",
""Works like a charm!"", 
""...Is it supposed to glow like that?"",
""Seems to have worked. Performing diagnostics now."",
""I almost feel sorry for any Vek hit by this. Almost.""","""This will serve."", 
""Serviceable.""","""Interesting. Its power capacitors can interface with nearly any hardware without any modifications..."",
""Readouts are green. Could use some tweaking, of course, but I'll leave that for my lab."",
""Well, would you look at that. Clicks right into place!"",
""Just as predicted! Works like a charm.""","""Is this a new gardening tool?"",
""This will enhance my Vekticide efforts."",
""I am to balance the island ecology with this?"",
""I do not recognize this harvester configuration.""","""Oooooh - I can't wait to try this out!"",
""Listen to it hum!"",
""Ooh - I just got goosebumps."",
""How soon can I try this out? Now? No? How about now?""","
""This'll give us an edge."",
""The Vek won't know what hit them."",
""Primed."",
""Armed and ready."",
""This should get the job done."",","""Perfect. I know just how to use this... but, uh, show me anyway."", 
""Can't wait for the Vek to get a taste of this. It is a weapon, right?"", 
""Now we're playing with fire. I think. What is this again?"",","""Just give me my rifle and I'll be happy."",
""...If you think this is necessary, commander."",
""This thing's bigger than I am."",
""Weapon primed, commander."",
""Weapon checks out, commander.""","""Hardware install acknowledged. Accessing schematics and operation instructions."",
""Performing roll call of new systems. Systems, sound off."",
""Beginning rigorous component training. Components, at attention!"",
""To new device: Your training begins now."",
""To new device: I expect nothing less than 100% performance."",
""To new device: I am #self_full. But you will address me as 'sir'.""","""W-wait... how do you work this thing again?"", 
""What d-d-does this d-do now?"",
""I'm n-not entirely c-comfortable with this."",
""My s-strengths lie in the lab, not live w-w-weapon tests."",","""Hardware installed"",
""New excavation tools acquired."",
""Excavation equipment altered."",","""There. All switched on!"",
""Accessing the new device specifications now."",
""Well, this is certainly... destructive."",
""I do hope we can disarm these as easily as upgrade them... for the human's sake."",
""This device raises some potential ethical quandaries.""","""Kch'kch'kch…""","""/ ::--:: \""",""":: Rhnn-kk-k-n? …Hnh. Hnh! ::""",,--,--,,
,Upgrade_NoWeapon,If you have no weapon powered. This plays every time you remove all weapons from the Pilot.,"""Error: No weapon detected"",
""Tactical Efficiency: Sub-optimal"",
""Warning: Weapon systems offline""","""Um, requesting ordnance, commander. Can't fight without it."",
""Am I getting a replacement?"",
""Um, I signed up partly to test weapons..."",
""Am I getting an upgrade?""","""Need ordnance before deployment, commander."",
""I'm not combat-ready, commander. I need a weapon."",
""Need some firepower first.""","""[ Unit has been disarmed ]"",
""[ Unit has entered stand-by mode ]"",
""[ Unit has entered pacifist mode ]""","""Will I be getting a replacement?"",
""Are we expecting support in the field?"",
""If you're taking my weapon, please make sure it's stored safely."",
""Have I been reassigned to relief efforts?""",,"""I can't go into battle unarmed. Commander."", 
""Need a weapon before going into battle."",
""I'm not going to fight the Vek empty-handed."",
""Give me another weapon, and I'm ready.""","""Uh, Commander? I'm sorry, but I can't fight without a weapon..."",
""Happy to give visual support, but I'd feel better with a weapon."",
""Can you give me something from the science division to replace that?"",
""If you're giving out new equipment, anything non-lethal is fine."",
""Unless I've been assigned to simulation training, I'll need actual armaments.""","""...Is this a test?"",
""This Mech is for battle. It must be armed."",
""I am not such a fool as to enter battle unarmed.""","""It would be... unproductive... to enter battle without any devices to test."",
""I'd like to be more than just a decoy. Some armaments, perhaps?"",
""Are you taking that away to upgrade it? Can I watch?"",
""Am I being reassigned to field observer? Do I get a new Mech?""","""Am I to return to my orchard on Archive?"",
""I may be of more use with gardening weaponry."",
""I shall need a device for continuing Vekticide efforts."",
""Accelerating the Vek cycle of life and death is impeded by a lack of weaponry.""","""Wait! I need a weapon!"", 
""Wait, I can't take my #self_mech into battle without a weapon!"",
""My little #self_mech doesn't have anything to kill the Vek with."",
""No! I promise I won't play around with it anymore!"",","""I need a weapon before we engage the Vek."",
""Switching armaments?"",
""Have something else I can use?"",
""Either give me something new, or give that back."",","""I'll need a weapon other than my winning smile."", 
""Unless you want me to just wave at the Vek, I need a gun."",
""Has my real weapon not arrived from the armory yet?""","""Do you expect me to use my fists? ...Commander."",
""I hope you're planning to give that back."",
""I'll need that back - or something stronger."",
""Are you relieving me of duty?"",
""Surely you trust me with a weapon by now.""","""Critical warning. This unit is lacking weaponry."",
""Is unit returning to construction duties?"",
""Has my device been court-martialed?"",
""Was the device derelict in its duty?"",
""Attention, commander. My weapon has gone AWOL.""","""Am I... am I b-being removed from th-the fighting?"", 
""If I h-have to go into battle, I'll need... well, s-s-something."",
""Has m-my request for lab d-duty been approved?"",
""Has my t-t-transfer to the science division b-been approved, then?"",
""Does this m-m-mean I've been reassigned to lab work?""","""Error in mining array. Excavation tool not found."", 
""Excavation equipment offline.""","""Did the commander grant you permission you to touch my person?"",
""I did not authorize my own disarmament."",
""In my timeline, humans are not allowed to carry weapons, let alone disarm robots."",
""I am not accustomed to being disarmed by a human."",
""I shall require a device to counteract the Vek."",
""Can you please clean that before you return it to me, commander? Thanks.""","""Kc'ch'ta?! Jjk?! K'TCH!""","""\ ::..:: /""",""":: Nnn-hrn? ::""",,--,--,,
,Upgrade_PowerGeneric,"Diverting reactor power to either Health or Move (basic Mech stats, not a weapon).","""Calibrating: Optimizing power levels"",
""Update: Power distribution complete"",
""Status: Mech optimized""","""Reactor checks out."",
""Installation successful."",
""Would you look at that!"",
""Humming right along.""","""Power readouts are lighting up now."",
""Reactor core checks out, commander."",
""Reactor upgrade complete, commander."",
""Ready to divert power to Mech's systems, commander.""","""[ #self_mech upgrade complete ]"",
""[ #self_mech's power diverted to new systems ]"",","""Reactor power has been diverted... running safety checks now."",
""Reactor safety is within acceptable limits."",
""Internal diagnostics are in the green."",
""Sure glad it didn't decide to blow a gasket."",
""Should we conserve power for safety protocols?""",,"""That should help."", 
""That should even the odds."",
""Just the edge this Mech needs."", 
""...Reactor makes my hair stand on end."",
""Mech upgrades complete."",
""This should help me compete with the Vek toe-to-toe.""","""I'll put this to good use!"",
""I wonder how much my Mech can be upgraded..."",
""Can't wait to field test this!"", 
""This technology is amazing!"",
""Now my #self_mech's good to go!""","""...What are you doing to my Mech?"",
""A blade must be sharpened, but not enough so it will break."",
""Unnecessary, but I will accept it.""","""These Mechs' ability to upgrade power without overheating is remarkable..."",
""I wonder... what timeline did this reactor core technology come from?"",
""The cores seem essential to our munitions."",
""Passed the initial safety checks. There's slight irregularities... but really, only I could tell that.""","""My Mech and I grow as one."",
""As it feeds, my Mech grows strong."",
""My Mech is nourished."",
""The reactor nourishes my Mech's systems."",
""This reactor shall ensure my Mech grows tall and strong."",
""In the reactor's light, my Mech flourishes.""","""More power!"", 
""Nice! And thanks!"", 
""Aw, this is just what my little baby needed, didn't you? Didn't youuuu?"",
""Aw, this is just what my little #self_mech needed, didn't you? Didn't youuuu?"",","""Reactor core installed - all systems green."",
""This Mech's primed and ready to go."",
""Power diverted to Mech systems.""","""You've made the right choice."", 
""Awww yeah... listen to that Mech purr."", 
""Listen to that reactor hum! But louder than before!"", 
""Hey, are these things radioactive? Anyone?"",","""Understood."", 
""Reactor power increased."", 
""Core installed."",
""This boost should do the job.""","""Reactor install acknowledged."", 
""Reactor output optimized."",
""Power output has increased. Well done, reactor, you are due for a promotion."",
""Reactor now optimized beyond original specs. Let this be a lesson to you other systems.""","""I w-wonder if this will even matter."", 
""W-W-Will more power really help?"",
""Do y-you think this will make a difference?""","""Mech upgrades complete."",
""Mech systems upgraded."",
""Additional systems online."",","""A primitive battery, but effective."",
""Ah, a touch of civilization."",
""So inspiring to see this Mech living up to its potential."",
""Ah, approaching civilized technology."",
""A step in the right direction for such primitive systems."",
""Up the ladder of scientific advances, one core at a time."",
""It's a slow climb up the evolutionary ladder, but this Mech will get there!"",
""Did they finally solve the cascade failure with these reactor cores?""","""Kc'cht?"",
 ""Jjk; ckt'ch'kht?""","""/ ::--:: \""",""":: …rhnn-kk-k-n…? …Hnh. Hnh! ::""",,--,--,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid- Battle,MissionStart,Generic mission start,"""Weapons: Online"",
""Update: Multiple targets detected""","""Let's turn the Vek into relics!"",
""This Mech makes Archive's old-fashioned relics almost prehistoric."",
""Time to make some history.""","""Vek sighted, commander."",
""Drop successful."",
""Pilot #self_second, reporting in."",
""Ready to make the #squad proud, commander.""","""[ Vek infestation detected ]"",
""[ Weapon systems online ]"",
""[ Hostiles detected ]"",","""#main_second reporting in... safety checks complete, weapons online."",
""Let's secure the region, clean and by the numbers."",
""All right, #squad, let's make this a clean sweep."",
""Let's show these Vek how Detritus takes out the trash."",
""It's garbage day... and here the Vek are, right on time."",",,"""Prioritize protecting the city. Mechs can be repaired... buildings can't."",
""Hit them hard and fast."",
""Time to make some Vek corpses."",
""Let's clear the area."",
""Cut off the Vek escape routes. Then we'll wipe them out, one by one."",
""Let's take back what's ours.""","""We have to help these people!""","""You know what to do."",
""The rest of you, stay out of my way."",","""Another chance to test this machine's capabilities!"",
""Let's see how our Mechs perform in this field test!"",
""Remember, #squad - transmit your Mech's diagnostics to me at the end of this test.""","""Vek parasites have infested the region. Activating Vekticide protocols."",
""Vekticide protocols activated."",
""Preparing recyclers to convert Vek into nutrients."",
""Vek infestation detected in region. This garden must be sterilized."",
""Let us use the Vek remains to nourish the soil.""","""Here we go!"",
""Raring to go!"",
""WhoooHOOO! Let's do this!"",
""Let's get this show on the road!"",","""Everyone, cover each other and protect the Grid."",
""Remember - if the Grid falls, the battle is over."",
""#squad, form on me."",
""You know the drill, #squad - clean and by the numbers."",
""All right #squad, let's show them what we're made of.""","""Everyone, you can relax, I'm here to save you!"", 
""Let's paint the landscape with these Vek bastards."",
""Citizens of #corp, the ass-kicking machine you ordered has arrived."", 
""Time for some pest control."", 
""Someone call for an exterminator?"",
""Leave the biggest Vek for me.""","""Enemies sighted. Ready on your mark, commander."",
""#self_mech, standing by."",
""Deployment successful. Ready when you are, commander."",
""#self_second, reporting in."",
""#self_second, ready to engage."",
""Deployment successful, all systems go.""","""Assessing nearby threats to infrastructure. Deconstruction countermeasures initiated."",
""Temporal reconstruction initiated. Removal of hazardous Vek material commencing."",
""#corp infrastructure is at risk. Removing Vek from combat work zone."",
""My weapons have reported in. All components are eager to fulfill their purpose."",","""Here we go... th-th-this time I can do this."",
""I'll n-n-never get used to this."",
""Deployed... uh, assessing th-threats... acquiring t-t-targets."",
""Uh, this is P-P-Pilot #self_full... r-reporting in."",
""N-N-Now or never."",
""Can't b-b-believe I'm on the front lines... s-surely they c-could have found someone else?""","""Region scanned. Initiating deployment."",
""Scanning region for useful resources."",
""Vek excavation commencing.""","""Attention, #corp citizens. Please remain in your safety pens until order is restored."",
""Attention, #corp citizens. I am a designated representative of the #squad. We are here to protect you."",
""Citizens, please remain in your  emergency pens until safety has been restored."",
""Attention, all citizens. Please remain in your safety pens until the #squad secure the area.""","""K'tch! Vk; #self_reverse!""","""/ ::--:: \""",""":: Rhnnn-kk-k-k-n? Nnn-hrn. ::""",,"""Hundreds of people are in those buildings, make sure they stay standing!"",","""Now show me what those Mechs of yours can do."",","""Many lives depend on you. Stay safe and help everyone you can."",
""Hundreds of lives are in your hands. Please be careful."",","""We're monitoring you from here. Good luck, #squad."",

""Detritus will monitor you as best we can, commander - #squad, good luck."","
*,Mission_ResetTurn,Triggers after a turn reset,"""Update: Localized breach completed""","""Nnnh... localized breaches make my head spin."",
""Are we back? Where we should be?"",
""Are we where we should be? And when we should be?"",
""Localized breach successful... all systems check out."",
""Now for round two!""","""So that's what terraforming time feels like..."",
""Was that safe to do?"",
""Localized breach complete, commander.""","""[ Localized breach completed ]"",
""[ Loc-Local bre-breach com-complete ]\n[ Recalibrating system echo ]""","""Nnnh... localized breaches make my head feel like it's in two places at once."",
""Ready to try this again?"",
""We ready to do this again?"",
""Let's do better this time."",
""Everyone learn from last time?""",,"""Localized breach worked. Let's use it to our advantage."",
""#squad, reporting in. Localized breach successful."",
""We've bought a little time, make the most of it!"",
""Glad that worked. Too bad for the Vek.""","""Does... do colors seem sharper to anyone else?"",
""Did we just create a new timeline or..."",
""I heard repeated local breaches can induce s-s-stuttering... oh no."",
""Temporal physics used to make my brain hurt. Now they do, literally.""","""Let us correct our mistakes."",
""We know our opponent's movements, now let us use it against them."",
""No more second chances - make use of the time we have now.""","""Fascinating! All right back where it was!"",
""Oh, I'm right where I was when... or where I was now... which... never mind."",
""I'm relatively certain short breaches were not the intention of the technology..."",
""These localized breaches merit further study.""","""Time has been recycled."",
""#squad have been recycled."",
""Let us begin our Vekticide efforts anew."",
""Localized breach may cause long-term environmental damage.""","""It worked! We didn't blow up time or anything!"",
""That. Was. So. COOL."",
""All my senses feel... sharper. Colors seem... brighter."",
""Annnnd we're back!"",
""Okay, #self_first, remember - don't do the thing you did before, do a different thing.""","""Localized breach successful."",
""Everyone okay? Now focus this time, we don't get another chance.""","""Feels like we're stripping time's gears when we do that..."",
""Felt like there was two of me for a sec... how awesome would that be!""","""Nnnh... localized breaches make my head hurt."",
""Can't do that again for a while."",
""We got a second chance, let's make it count."",
""Localized breach successful, commander... er, this may be the first time you've heard this."",
""Localized breach successful, commander.""","""Chronometers reset. Objectives remain fixed."",
""Localized breach successful. Suggest avoiding any more wear and tear on timeline."",","""Temporal reset... s-s-successful."",
""Recalibrating tachyon anchor... d-d-done."",
""Reset c-complete. Please, we need to more careful!"",
""This isn't what m-my research was meant for..."",
""We... we need to be c-c-careful with these localized breaches.""","""Systems resetting."",
""Updating chronometer.""","""Did we go actually just go back in time? Or did we create a divergent timeline?""","""K-k-k'ccht…?""","""| *:.:-- |""",""":: Rhnnn-kk-k-n? ::""",,"""...Did you pick up a strange glitch in your sensors just now?""","""What was that? Just had a moment of deja vu... like when you first arrived.""","""My sensors just registered a localized time breach. Was it a malfunction?""","""#squad, are you there? Getting strange readings on sensors... are you all right?"""
,MissionEnd_Dead,Generic mission end where enemies are all killed,"""Update: Mission successful\nObjective: Completed"",
""Update: Mission complete\nWeapons: Offline""","""We killed them all! The Vek are dead!"",
""We wiped them all out! The region's clear!"",
""Hope my family on Archive was watching.""","""Got them all. #corp will be pleased."",
""Even Kern's got to be smiling now."",
""Region's Vek-free, commander."",
""Clean sweep. Good job, #squad.""","""[ No Vek life signs detected on sensors ]"",
""[ The Vek threat in the region has been eradicated ]"",
""[ Vek population in the region at 0% ]"",","""100% success. That's the number CEO Singh likes to see."",
""Not a trace of Vek on biohazard scanners."",
""Took out those Vek cleaner than an A.C.I.D. bath."",
""A teleporter couldn't have eliminated the Vek better.""",,"""We did it. Their hold here has been weakened."",
""All Vek are destroyed!"",
""That's all of them!"",
""A few more like that, this war is won!"",
""Not a single Vek on sensors - good."",
""Only good Vek is a dead Vek."",
""Good work, #squad. But the war's not over yet."",
""We won this battle, but the war continues.""","""We did it! Good job, everyone!"",
""Good job, #squad! We took out all the Vek!"",
""Did we wipe them all out? We did?"",
""Region secure. Not a single Vek on sensors."",","""These Vek were no match for us. A shame."",
""Thorough."",
""The Vek are all dead. The region is secure."",
""This battle is ours. The Vek have been slain to the last.""","""I didn't collect nearly enough data on the Vek to perform a full analysis.""","""Vekticide of region complete."",
""Land has been cleared for planting."",
""Nature preserve has been preserved."",
""Vek garden pests have been eradicated."",
""All available Vek nutrients have been distributed into the soil.""","""We did it! That was fun!"", 
""Last one back to the Carrier is a rotten egg!"",
""That's how it's done! #squad, saving the day!"",
""Got every last Vek! Let's hear it for the #squad!""","""Clean sweep, let's pack it up."",
""No Vek on sensors. Good job, #squad."",
""Clean and by the numbers, #squad. Well done."",","""Is that all you've got? I could do this for days!"", 
""Is that all the Vek? Really?"", 
""Next time I hope the Vek put up a real fight.""","""Vek eliminated, commander."",
""Mission was a success, commander. All Vek have been destroyed."",
""All Vek eliminated, commander."",","""Vek hazards eradicated. Components, you have behaved admirably."",
""#main_mech's skill set has successfully removed all Vek from the threatened work zone."",
""All Vek hazardous material has been removed from work zone.""","""I-I-Is it over? Are there any left...?"", 
""Did... d-d-did we wipe them out?""","""Enemies destroyed.""","""The Vek have been sanitized completely."",
""The Vek have been excised from the region."",
""The Vek presence has been removed from the region.""","""Tch'K't'ch'ch! Vk; #self_reverse!""","""// :::::: \\""",""":: HnnNH. HNH. ::""",,"""Not a single Vek life sign detected in the region - you've wiped them out!""","""Every Vek has been wiped out. Thorough - and impressive."",
""Excellent work. That is all.""","""Running a deep scan... no Vek detected."",
""No Vek detected within the region. Well done."",
""I am grateful for your help, many lives were saved here."",","""Detritus sensor arrays detect no signs of the Vek."",
""You wiped the Vek from the sector completely! Thank you, commander!"""
,MissionEnd_Retreat,Generic mission end when enemies retreat,"""Update: Hostiles retreating""","""We sent the Vek packing... hope they don't come back."",
""We'll get them all next time. Those fleeing Vek won't get far."",","""Sent the Vek packing, commander."",
""Next time, we can't let the Vek flee - they'll just regroup."",
""Vek retreat's not a total victory, but I'll take what I can get.""","""[ Vek have been detected leaving the area ]"",
""[ The Vek are receding from the conflict zone at maximum speed ]"",
""[ Vek leaving area. Chance of regrouping and initiating future attack: 78% ]""","""We're still picking up surviving Vek fleeing the area... not ideal, but still a win for us."",
""Hate to leave those fleeing Vek unaccounted for, but we secured the region."",
""Looks like we've got the Vek on the run.""",,"""The Vek are retreating. We'll monitor the area, but they'll likely regroup elsewhere."",
""Hate letting any Vek get away, but at least we secured the area."",
""The Vek may run, but they won't get far."",
""We got the Vek running scared now."",
""The Vek won't dare hit this region again... still, we should hunt down the ones that fled.""","""They're scattering! We pulled it off!"",
""The Vek are retreating... will they regroup?"",
""The Vek are fleeing to other regions. I hope they don't endanger the civilians there..."",
""The Vek are scattering! We've secured the region!"",","""The Vek flee. Cowards."",
""They flee... but will return.""","""Where do the Vek retreat to? And how can they burrow so quickly...?""","""Vekticide of region complete. Further gardening of other regions required."",
""Nature preserve has been protected. Further gardening may be required."",
""Vek garden pests are relocating to other regions."",
""Nutrients of deceased Vek have been distributed into the soil."",","""Hey, where are the Vek running off to? I was having fun!"", 
""Aw, just when things were getting good, the Vek run away!"",
""That's it, Vek! Run! And don't come back!"",
""We showed those Vek who's boss!""","""Don't like letting even one Vek escape... but we did good here today."",
""The Vek are fleeing... but they'll be back."",
""We drove them off... I'm worried the survivors will adapt.""","""Ha! Run, you Vek cowards!"", 
""Run back to your hives, you Vek bastards!"",","""Vek have been routed, commander."",
""Vek driven off. Ready for evac, commander."",
""We've driven the Vek back for now. #squad, proceed to extraction zone.""","""Vek hazards have fled the zone. Warning construction crews in other regions."",
""Vek hazards have relocated. Work site integrity maintained."",
""Zone has been cleared for additional temporal reconstruction.""","""Are... are th-they retreating? Wh-Why... we won!"", 
""Did... did w-we drive them off?""","""Enemies disengaging.""","""The Vek have been partially sanitized."",
""The Vek have retreated. Further sanitization will be required later."",
""The Vek have vacated the region.""","""Tch'K'tch! Vk; #self_reverse!""","""/ ::--:: \""",""":: HnnNH. ::""",,"""Our scanners are picking up reduced Vek activity. What a relief!"",
""You sent them packing! Well done, #squad!, well done!"",
""You showed those Vek who's boss! Look at them run!""","""Hard to believe, but it appears you drove them off."",
""While I would have preferred you kill all the Vek, the region is secure, and that is enough.""","""The Vek retreat gives us hope. Initiating subroutines to track the survivors."",
""I am grateful for your help, many lives were saved here."",","""The Vek - they're disengaging. We have you and the #squad to thank, commander."",
""The Vek are on the run. We'll handle them from here, commander - thank you and your squad."",
""The Vek are routed. Our disposal crews can handle them from here. Thank you, commander."""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_Start,Plays at the start of the final mission,"""Emergency: Power Grid out of range"",","""We're here... but not sure what we're supposed to do without access to the Power Grid.""","""We're here, but we're too far from the Grid... our Mechs won't last long.""","""[ This unit risks itself by coming to this Vek volcanic hive so that other units might persist ]"",","""Deployment successful. We're out of Power Grid range, however.""",,"""This is it."", 
""So close now - can we do it?"", 
""This is the last timeline the Vek take from us."",","""We've come all this way - just a little further!"",
""Come on, everyone, we can do this!""","""This is the end."",
""This will determine if this timeline has a future."",
""This is for my family. All of them, in every timeline.""","""Amazing... the Vek activity must have somehow sparked this eruption."",
""Thermal levels are off the charts - this volcano is active."",
""Smoke and ash is interfering with my sensors... there we are, good as new.""","""This island is a new biome... created by the Vek?"",
""Theory. Perhaps the Vek mean to recycle Old Earth using volcanic activity."",
""Diverting all power to Vekticide protocols."",
""This land mass appears to be recycling itself.""","""It's now or never. Well... I mean, until next timeline, I guess."",
""Anyone else getting warm?"",
""So this volcanic island is what the Vek call... home? Cheery.""","""This is what we trained for. Everyone, form up on me."",
""First, secure the surface, then we'll need to protect the bomb."",
""Watch for attacks from below - this place has Vek we've never seen.""","""Hope they're still recording me back at the islands... I can't hold this pose forever."",
""We ARE coming back from this, right? Anyone?"",
""Don't want to get all mushy, but it's been fun, commander. Let's do this."",","""...This is for every timeline they've destroyed."",
""We're here. The central Vek hive."",
""Picking up tectonic activity... watch for lava, that volcano's active."",
""Mother, I failed to save you in my first timeline... I won't fail you in this one.""","""Analyzing temporal reconstruction needed at current location. Calculations expanding exponentially."",
""Am testing morale of base components now. Deserters will be cast into the lava."",
""My base components are prepared for disintegration before dishonor."",
""This volcano is in violation of Corporate Accord Zoning laws."",
""This island violates the Corporate Accords prohibiting island construction without certified safety checks."",
""This Vek hive violates construction ordinance 1.i, 2.ii, and aesthetic association rule 13.a.i."",","""I-Is this the end?"",
""This island... it... it d-doesn't look safe?"",
""H-How are we s-supposed to get off this island once we're done?"",","""Scanning land mass for useful mineral deposits. Failure to access Power Grid logged."",
""Unauthorized land mass now being surveyed. Power Grid access requested.""","""Not getting a Power Grid signal. Without power, the probability of success is 0%."",
""This Vek hive was beneath the ocean floor. What else is buried down there?""","""K'T'CH'CH! Vk; #self_reverse! #self_reverse!""","""// ::--:: \\""",""":: Rhnnn-kk-k-k-nnn-hrn? ::""",,,,,
,MissionFinal_StartResponse,Incoming power pylons,"""Update: Pylons incoming""","""Got pylons incoming!""","""Picking up the pylon drop on sensors, commander - they're falling fast!""",[ Pylon deployment detected ],"""Confirming pylon drop on sensors.""",,"""Pylon drop incoming.""","""Picking up the pylons on sensors now.""","""Prepare to protect the pylons when they land.""","""Remote power pylons? I could use a few of those myself.""","""Pylons have begun their descent.""","""We're getting company? Even if it's just pylons, they should brighten the place up a little."",
""Remote power pylons? Wow, the corporations must really like us...""","""Pylon drop detected... trajectory confirmed."",
""Pylons have been dropped, should hit our location now.""","""Good. Without a Grid out here, we'd be running on fumes."",
""Pylons, just in time."",
""Pylons are about to join the party... then we can start kicking Vek ass.""","""Picking up the pylon drop on sensors."",
""Pylons are away! Should touch down any second.""","""A squad of highly-trained supply pylons have been deployed to assist us.""","""D-D-Detecting p-pylon b-being deployed to our location.""","""Pylon deployment detected.""","""Pylons en route.""","""K'TCH! Vk; #self_reverse!""","""/ ::--:: \""",""":: Rhnnn-k-k-nnn-hrn. ::""",,,"""Deploying remote power pylons. They'll keep you connected to the Grid.""",,
,MissionFinal_FallStart,Plays at the start of the ground falling in the final mission,,,,,,,,,,,,,,,,,,,,,,,,,"""Incoming seismic activity. Brace yourselves.""",,
,MissionFinal_FallResponse,Plays once the ground shakes,"""Update: Island collapsing""","""Quake! The island's tearing apart!""","""The ground's unstable, we're falling in!""","""[ Terrain unstable, collapse imminent ]""","""Island's collapsing!""",,"""Seismic readings are off the charts!"",
""Ground's giving way!""","""Island is tearing itself apart!"",
""This quake's worse than the ones on R.S.T...!""","""This island cannot defeat us, so it tries to swallow us.""","""Tremors on sensors... hold on!""","""New fissure detected beneath us."",
""#squad is about to enrich the depths of this island with their nutrients.""","""The ground's breaking apart... everyone, watch out!""","""Don't like these tremors..."",
""These tremors can't be anything good...""","""Earthquake? Come ON!"",
""Wh- Ground's collapsing!""","""This damn island's trying to swallow us alive!"",
""Seismic readings are off the charts!""","""The island foundation is collapsing due to unusual Vek activity beneath the surface.""","""The island! It's t-tearing itself apart!""","""Seismic activity increasing. Terrain unstable.""","""Activate ground stabilizers, the island's breaking apart!""","""KC'CHHHHHT!""","""\\ *::.:.*:* //""",""":: RhnnNN-K-nn-HRN! ::""",,,,,
,MissionFinal_Pylons,,,,,,,,,,,,,,,,,,,,,,,,,,"""Sending down power pylons. Keep them operational, we don't have any more.""",,
