,,Notes,Archive Inc CEO,Rust CEO,Snow CEO,Detritus CEO
,Mission_Mechs_Dead,"Not currently used, but we'll need it","""My condolences for the loss of your pilots... they fought bravely and well. They will be remembered."",

""Know that all Archive Corporation mourns the loss of your pilots. We know you are putting yourselves in harm's way for us."",","""The war won't be determined by this battle - but a few more like this, and it might be. We can't afford any more losses."",

""One lost battle doesn't lose the war - but we can't continue to lose ground. You need to focus."",
","""Your pilots are the heart of your war machine. Without them you don't stand a chance.""","""I have asked that the names of your fallen pilots be added to our Memorial Wall. Their sacrifice will not be forgotten."",

""The Mechs of the #squad are powerful, but I worry few are left to pilot them - now, even fewer than before."","
,,,,,,
Generic Objectives,,"Some missions use generic objectives, so the CEO can pull from these lists to address those objectives ",,,,
,Mission_MechHealth_Briefing,This bonus objective is for limiting damage to the Mechs themselves.,"""Our equipment and resources to repair your Mechs are limited - please keep damage to a minimum if you can."",
","""We can barely keep our cities functioning, let alone repair your Mechs if they are damaged. Choose your shots carefully."",

""This isn't Pinnacle - we don't have enough engineering crews to fix your Mechs if they take heavy damage."",","""There will be little time between skirmishes and we need you fully operational. Exercise caution."",

""Our robotic repair teams are offline. It will be difficult to assist with Mech repair before the next combat operation. Please keep that in mind."",","""Unfortunately, most of our engineering division is occupied. If the Mechs of the #squad take too much damage, we may not be able to repair them."",

""We have no personnel to repair your Mechs if damaged. It is unfortunate, but please, do what you can to keep them out of harm's way."","
,Mission_MechHealth_Success,< 4 damage to mechs,"""Your Mechs look almost untouched! That's a relief... it'll allow us to assign our repair crews to reinforce the refugee shelters instead."",

""Your Mechs are barely scratched! That'll allow us to assign our repair crews to emergencies in other regions."",","""I see you and the #squad weathered the worst of it and survived. Excellent."",

""The repair teams report barely a scratch on your Mechs - efficiently done. We can re-allocate the damage control teams to civilian relief and city protection."",

""Your Mechs took almost no damage. That means we can allocate additional resources and repair crews to help refugee centers elsewhere on R.S.T."",
","""Your ability to defeat the Vek with minimal damage to the Mechs is admirable. If only all humans showed such concern for their machine counterparts."",","""Success - and only minor damage to your Mechs, commander, well within the projections of what Detritus can repair."",

""Your Mechs have taken only minor damage, my engineers are certain they can get the #squad back into the field quickly."","
,Mission_MechHealth_Failure,>= 4 damage to mechs,"""I'm told we'll need to divert three teams of engineers to repair your Mechs. The engineering teams have more than enough on their plates already..."",","""Your Mechs are heavily damaged; several teams of engineers have been reassigned to repairing them as we speak, even the teams devoted to civilian defense."",

""The damage to your Mechs is extensive - we'll have to call in repair crews from the city centers if we're going to stay in the fight. And we must stay in the fight."",

""Your Mechs are so torn up they're ready for the scrapyard. It'll take our repair crews working double shifts to get them back in fighting shape!"",

""We've had to call back engineers from the refugee centers to fix the damage to your '#squad'. Don't let this happen again."",

","""Do not allow your Mech's reinforced hull lead to complacency. Repairing its exoskeleton is a material-heavy process with considerable cost."",

""It seems you are quick to risk your Mechs and their pilots. Both are needed in the war ahead. Please be more careful."",","""I've had no choice but to assign all emergency engineering divisions to repair your Mechs. This will compromise Detritus' defense efforts severely."",

""Our repair teams report - ah, I quote... 'there's more shredded metal than Mech' and conclude with an... unoptimistic... report of the chances of repair."",

""Our pilots report the #squad are so damaged they barely fit into the docking bays. We'll need to assign additional personnel for repairs."","
,,,,,,
,Mission_GridHealth_Briefing,Bonus objective for keeping power grid damage to a minimum,"""This island's ancient power stations can barely meet your Mech's needs. Please try to prevent any damage to the Grid!"",","""The Grid here can barely power your Mechs. Fight efficiently, or you'll be in the red faster than you think."",","""Our reactor cores are frozen like everything else. We can't spare additional power. Make the Grid a priority."",


""My power output in this region is... <Connection Lost> ... <Grid Power Low>"",","""The Grid here can only provide limited power. If it suffers any damage, you and the #squad may not have enough power to fight."",

""The Grid here was never intended to power something like your Mechs. We've made it work, but barely - minimize damage to the Grid if you can."","
,Mission_GridHealth_Success,< 3 grid damage,,"""Looks like the Grid held - thanks to you fighting smart. We need all the power we can spare for the war ahead."",","""Everything is operating at peak efficiency. I thank you."",","""The Grid held, commander. The sector still has power. Detritus thanks you and the #squad."",

""The Grid's power supply was uninterrupted. You fought conservatively and efficiently, commendable."","
,Mission_GridHealth_Failure,>= 3 grid damage,"""The Vek are gone, but the casualty reports are still coming in. And we haven't even started assessing damage to the island's infrastructure."", 

""The Vek have caused massive damage in the region despite your efforts. We may need to re-examine our tactics."",","""Many lives were lost today... if this continues, there'll be no more of my people to protect."", 

""The Grid took massive damage, and the casualties... unacceptable. I need you to protect my people, not let them be slaughtered!"",

""Did you come from the future to ruin us? The Grid is damaged, we have no idea if we can repair it - and the casualty reports? They're still coming in."",
","""With that much damage to the Power Grid, more of my mechanical brethren must shut down. Others are permanently damaged and cannot be reactivated."", ","""The Grid suffered too much damage in the fighting, commander. Detritus will have to reassess our chances of survival in the region."",

""The Grid collapsed. We'll have to reroute power from already struggling sectors of Detritus to keep the island intact."",

""I know you did your best with what little the Grid could provide, commander. It was a slim chance, but we had to take it."","
,,,,,,
,Mission_KillAll_Briefing,Bonus objective for killing all Vek before the turn limit runs out,"""The Vek retreat when the battle goes against them, then regroup and attack again somewhere else. Wipe them out for good this time!"",","""Don't let a single Vek survive - if they do, they'll only create another hive and hit us again. Kill them all."",

""Exterminate every Vek - if you don't, we'll be fighting this same battle again in a few days. Don't let a single one escape."",

""Keep firing until every Vek is dead - then shoot them again. Do not allow even one to escape, or they'll swarm us again in days."",
","""All life has value. But I will make an exception for the Vek. They must all be wiped out."",

""These Vek were to blame for the loss of ten million machine lives on a nearby server farm. Stop them before more lives are lost."",

""My creator did not teach me to seek 'vengeance', but she did not have to watch the horror of the Vek."",

""These Vek destroyed three gestating A.I. routines in one of our Sentient Vaults. They must be prevented from murdering any more of my children.""","""The Vek presence must be reduced to 0% or they will regroup and attack again."",

""According to our projections, we must exterminate all the Vek in this sector - none can remain alive, and none must escape."","
,Mission_KillAll_Success,All Vek Dead,"""Those Vek won't be causing us any more trouble! Well done, all!"",

""The attacking Vek have been wiped out! Good show, #squad!"",","""One less Vek swarm to worry about. I've read the battle reports - I'm impressed. You and the #squad were very thorough in the extermination."",

""Your thoroughness in battlefield sanitation is appreciated. Sweeper teams report no Vek survived."",

""First, we burn the Vek on the surface, then we'll dig below and exterminate them like you did here."",
","""My subterranean sensors are reporting no life signs. The Vek are all dead. You have made the sector safe again."",","""Reports put the Vek presence in your sector at 0%, and mission success 100%. You and the #squad have our thanks."",

""The Vek are no more, and another sector has been reclaimed. We thank you, commander - you and the #squad."",

""Your intervention was 100% successful, commander. Sensors register no Vek activity in the sector."","
,Mission_KillAll_Failure,Some Vek survive,"""You let some of the Vek scurry back to their underground hives. Unfortunately, they'll emerge again soon and attack another region."", 

""One day we'll find out where those Vek run off to and take the fight to them! Old Earth would not have taken this sitting down!"",","""You let some Vek escape? Unacceptable - you haven't won, you've merely delayed the fight."",

""If you can't contain an area and cleanse it of the Vek, I'll find someone who can."",

""Sweeper teams already report the surviving Vek have burrowed too deep to hit - likely making another hive."",

""I needed a thorough Vek cleansing, not a half-assed attempt."",

""I thought I was clear - all the Vek have to die. Every. Single. One."",
","""Your failure here has put other regions of the island in danger. I must reallocate resources to protect them."",","""Sensors report Vek escaped, and they are breeding even now. I know you did your best, commander, but this was not a victory."",

""You drove the Vek away, but enough survived to restore their numbers in the next breeding cycle - then we will have to fight them all over again."","
,,,,,,
,Mission_Block_Briefing,"Bonus objective for ""Blocking"" Vek from emerging in the first place. As it's not blocking *all* Vek, and even Vek you do block might emerge, it's hard to give a proper excuse for why this is a good thing!","""This region still has pristine ancient roads and topiary design! Do not let the Vek surface, they'll wreak havoc on it!"",","""This region is some of the last arable land on R.S.T. Do not let the Vek destroy it."",","""There are micro-bots covering the surface of this region. If the Vek break the surface, it could cost millions of lives."",

""A fragile ecosystem of new machine life is evolving on the silicate plains here. If too many Vek break through, the ecosystem will be devastated."",","
""A.C.I.D. can destroy hives beneath this sector - but we need you to keep Vek from surfacing so the A.C.I.D. has time to do its work."",

""We've tried to drill down into the Vek hives in this region, but they're surfacing to escape. Keep as many trapped below ground as possible."","
,Mission_Block_Success,3 Vek Blocked,"""With the Vek trapped underground, our Old Earth relics on the surface are safe, and the people as well. Thank you, #squad."",","""The way you prevented the Vek from surfacing was impressive. And I am not easily impressed. You and the #squad have my respect."",","""Thank you for minimizing impact on the surface. I'm still getting positive pings from the majority of micro-bots in the region."", ","""The #squad were successful, commander! You kept the Vek pinned and under control - the sector is ours!"",

""The sector is now ours to occupy safely, commander. The Vek below ground are no more."" "
,Mission_Block_Failure,"Did not block 3 Vek
","""Our nature preserves on the surface were destroyed during the fighting - there's little left of the region. At least the Vek are gone now."" ","""Vek reaching the surface means crops were destroyed. My people will die - not from the Vek, but from starvation.""","""Every millisecond another life is being snuffed out by the chaos from your battle on the surface. Redirecting my output so you have to watch it too..."",","""Detritus' attempts to destroy the Vek underground failed - too many were allowed to escape. We will have to redouble our efforts."","
,,,,,,
Universal Missions,,Every corporation island could use these missions,,,not used on Pinnacle,
,Mission_Train_Briefing,This mission involves defending a train traveling across the map.,"""Ol' 'Horace' here is the only diesel train left on the planet - that isn't at the bottom of the ocean, anyway. He's still going strong, carrying vital supplies across the island."", 
""I was overseeing maintenance on this Old Earth locomotive myself. Good thing, too - when the Vek struck, ol' Horace became the backbone of our supply lines!"", 
""Diesel trains may be old-fashioned by today's standards, but ol' 'Horace' here is going strong - he's vital to our supply lines!"",","""This maglev track is one of our last remaining supply lines. My people rely on it for supplies - without it..."",

""This maglev line is a major artery between our remaining cities. We lose it, we lose the cities as well."",

""The maglev runs on solar power - we need to get it out of the approaching stormfront before its cells die."",

""Make sure the supply train reaches the extraction point - we can take it from there."",

""This maglev is one of the few we have left. It needs to get through, or my people will be cut off."",",,"""Detritus waste disposal relies on trains to ferry hazardous byproducts to our disposal sites... but not if the Vek intercept the trains."",

""Our trains seem to provoke the Vek - whether it's the chemicals or the vibration, we don't know, but the Vek attack them on sight."",

""A waste disposal train is passing through this sector. The vibrations attract the Vek, so we need to protect it from attack."","
,Mission_Train_Success,If the train remains undamaged and makes it to its destination... ,"""The refugees will be grateful for the supplies. And I owe you my personal thanks for saving ol' 'Horace' - we two relics have been through a lot together."", 
""Ol' Horace made it to his destination without a scratch on him! With most of our past under the sea, it's a great day when we can protect our history from the Vek!"",
","""The supplies made it through and are on the way to my people in the cities. Thank you."",

""Excellent, the train made it through. We live to fight another day."",
",,"""The train has reported in; it has reached its destination without further incident. Well done, commander."",

""I've received confirmation, commander - the train is safely en route, and no further Vek have been detected in its path."","
,Mission_Train_Failure,The train was completely destroyed... ,"""Another irreplaceable artifact lost to the Vek. Maybe R.S.T. will sell us one of their maglevs."", 

""That was the last diesel train that doesn't lie at the bottom of an ocean. Unfortunate. We'll need a new way to transport supplies now."",

","""That was one of the last maglevs we had. I'll report the loss to the destination city and see what I can do for the relief efforts there."",

""Every maglev we lose, we lose two cities. Protecting my people means protecting the supply lines."",
",,"""The train is destroyed - and the byproducts it was carrying have contaminated the sector. It's uninhabitable to all but the Vek."",

""There's nothing left of the train. Or its crew. Detritus honors their bravery, and mourns their loss."","
,Mission_Train_Partial,"If the train is damaged once, it will stop, but the player can still defend it to earn half the rewards... ","""It'll take weeks to fix that train, but at least it's not a total loss. For now, we'll have to find an alternate way to ship supplies."", 

""These Old Earth trains were built to last! Despite the knocking it took, we can still get it back up and running - remarkable!"", 

""It'll take more than the Vek to stop ol' 'Horace'. We'll have him back on his feet in no time!"",","""Why was the train's path interrupted? It could have been destroyed... my engineers say it's recoverable, but we can't afford to have it idle for repairs."",

""We're dispatching teams to the train now - their priority is to get it running."",
",,"""The train was damaged, but the #squad saved the crew. You have our gratitude, commander."",

""The train was damaged, but not beyond repair - thanks to you, our engineers can get it up and running again."","
,,,,,,
,Mission_Volatile_Briefing,"This mission involves a special monster that explodes when killed. The primary objective is to not kill it, letting it run away.","""These 'volatile' Vek don't have the courtesy to simply die - they explode and damage entire regions. Drive it away, but whatever you do, don't kill it!"", 

""These 'volatile' Vek detonate on death! Drive it away and for safety's sake, don't let it explode!"",

","""Normally I wouldn't ask you to hold your fire - but one of the Vek is a Volatile, it'll explode if you kill it. Drive it off instead."",
""A Volatile Vek has been spotted. When they die, they explode and kick up a mile of dust that scrambles our sensors for days - don't kill it, drive it away instead."",
""These Vek are nasty ones. Volatile Vek don't die quietly, they detonate... and take entire districts with them. Do not kill it - make it run."",
""These Volatile Vek are living bombs. Don't kill it, drive it away before it turns the region into a crater."",","""My Vek Analysis Process has triggered an alert. One of the Vek in this region will detonate on death. You must drive it away without killing it."",","""We have detected a Volatile Vek in this sector, and it is imperative it not... detonate, or it may cause a chain reaction."",

""Intercept the Vek in this sector, but do not harm the Volatile Vek - drive it away without killing it or the damage will be catastrophic."",

""We've identified a Volatile Vek in this sector, commander - 'encourage' it to retreat - without killing it."","
,Mission_Volatile_Success,Volatile Monster survives... ,"""I'm sure that explosive Vek will be back, but at least nothing was damaged. Hmm. We should double the blast proofing on the Vaults before it returns..."", 

""If we had the resources, we could capture that volatile monstrosity and study it. At least it's gone now, that's a relief!"",
","""Excellent. We should be able to track that Volatile and terrabomb it when it hits an abandoned region."",

""One of these days we'll capture that Volatile and figure out how to turn every Vek into one... then set them off in their own hives."",
","""I'm creating a new subroutine to monitor where that Vek goes. I hope it stays far away."",","""We're tracking the Volatile now - it should pose no further threat to us. We commend your efforts, commander, efficiently done."",

""The Volatile is retreating to its hive. This is good news - we should be able to track it and detonate it when it reaches the nest."","
,Mission_Volatile_Failure,Volatile Monsters dies... ,"""There was a nature reserve within that Vek's blast radius. One of the last remaining ferret species is likely extinct now."", 

""One of our secure underground Technology Vaults was cracked open when that Vek exploded. I can only hope nothing inside was damaged!"",
","""We heard the blast all the way here at the R.S.T. Corporate Tower. I take it you weren't successful."",

""We picked up the blast on sensors... the region's useless to us now."",

""The Volatile damaged one our substructures... we're going to have engineering crews working double-time to brace up the island."",
","""That bl#st...@#^... dam#ged... <connection lost>"",","""Our sensors detected the explosion. There's nothing more to be done now, we've evacuated what survivors we could."",

""The Vek detonation disrupted Detritus operations in the sector - we'll have to pull back and reevaluate our attack plan."","
,,,,,,
,Mission_BlobBoss_Briefing,,"""Some sort of... gelatinous mass is approaching our headquarters! We've never seen anything like it - you have to stop it!""","""Sensors have picked up an unknown Vek... some sort of massive gelatinous creature. Whatever it is, don't let it reach the tower!""",,
,Mission_BlobBoss_Failure,,"""Our scientists believe that oozing Vek retained enough of its bio-mass to remain a threat to the region. Unfortunate.""
","""You failed the mission. The creature still retains enough mass to reform and attack again.""",,
,Mission_BlobBoss_Success,,"""Ha! That should drive the Vek off our Archive Island for good! Thank you for your efforts in preserving our past, #squad.""","""I don't know how you managed it, but the creature was destroyed - it no longer poses a threat. I thank you - and the #squad.""",,
,,,,,,
,Mission_SpiderBoss_Briefing,,"""One of the Vek abominations, some sort of spider-like monstrosity, is approaching our headquarters. It and its spawn must be stopped!""","""A Vek abomination has been sighted - it's spawning a horde of Vek spiders and attacking R.S.T. tower. We need your Mechs now.""",,
,Mission_SpiderBoss_Failure,,"""Alas, with the Vek abomination still alive, the Vek remain a serious threat to the region. I can only hope you find more success on the other islands."" 
","""If you really are the last hope for humanity, we don't stand a chance. That Vek spider will attack again, and I expect you won't be around to 'help' next time.""",,
,Mission_SpiderBoss_Success,,"""With that Vek abomination destroyed, no new hives should appear on our island. Thank you, #squad, you've saved us!""","""I must admit that was an impressive performance. We will rest easier knowing that Vek abomination and its spawn are gone.""",,
,,,,,,
,Mission_BotBoss_Briefing,,,,"""One of our machines has somehow taken control of a Vek hive and is assaulting Pinnacle Tower! It must be stopped.""",
,Mission_BotBoss_Boss,,,,"""I will find a way to remotely shut down that machine. It's too dangerous to be allowed to persist.""",
,Mission_BotBoss_Tower,,,,"""My data servers in Pinnacle Tower have taken severe damage. I must see to the repairs."",",
,Mission_BotBoss_Success,,,,"""If only we knew how the machine controlled the Vek like that, it could win us this war.""",
,,,,,,
,Mission_BossGeneric_Briefing,,"""Some kind of Vek abomination is approaching our headquarters! Whatever it is, it must be stopped!""","""A Vek monstrosity is assaulting our tower. We have to rely on you this final time to help us.""","""Pinnacle Tower is under attack. My analysis processor is unable to identify the species of Vek threatening us. Caution is advised."",","""Our sensors have picked up a Vek we've never encountered before... I fear it won't go down easy."",

""We've detected an unknown Vek approaching the Detritus hub. We're gathering what intel we can, commander, but we need the #squad."","
,Mission_BossGeneric_Boss,,"""With the abomination still alive, the Vek remain a serious threat to the region. I hope you find more success on the other islands.""","""If you really are the last hope for humanity, we don't stand a chance. That Vek monstrosity will attack again, and I expect you won't be around to 'help' next time.""","""I will assign a drone force to tail and scan that new Vek. We must obtain more data to properly combat it."",","""That monstrous Vek survived - and it'll likely strike again. If the #squad can't stop it, I fear our forces will have no chance at all."","
,Mission_BossGeneric_Tower,,"""You survived, but alas, our corporate tower did not... we've lost so many lives to those creatures!""","""You let our corporate command center be destroyed by those creatures. We were counting on you... I was counting on you.""","""My data servers in Pinnacle Tower have taken severe damage. I must see to the repairs."",","""Our corporate hub has been lost. We're evacuating what survivors we can, but over 30% of Detritus' own were manning the HQ when it fell."","
,Mission_BossGeneric_Success,,"""With the Vek abomination destroyed, no new hives should appear on our island. You've saved us!""","""I must admit that was an impressive performance. We will rest easier knowing that Vek monstrosity no longer infests our island.""","""Thousands of lives were saved today. I am thankful for the time you have sacrificed to aid us."",","""The Vek abomination is down, and our corporate hub is intact. You and the #squad have Detritus' gratitude."","
,,,,,,
Archive Inc Missions,Mission_Airstrike_Briefing,,"""This region has an old airfield that can provide air support. We're new at actually flying these planes, but let's hope for the best!"", 

""We recently got a few Old Earth jets in the air. My people aren't the most skilled pilots yet, but they're getting the hang of it!"",
",,,
,Mission_Airstrike_Success,,"""It did my heart proud to see those planes soaring across the sky. We really showed those Vek what Old Earth tech can do!"", 

""This region is now wiped clean of Vek! And, uh, I do hope our pilots missed your Mechs during their strafing runs."",
",,,
,,,,,,
